date,petrol_sales,super_petrol_sales,diesel_sales,super_diesel_sales
2026-02-01,2356.843,150.569,4100.821,41.539
2026-02-02,2213.42,101.392,2890.9,95.321
2026-02-03,2430.432,95.852,2170.393,136.879
2026-02-04,2300.022,90.848,2836.253,30.212
2026-02-05,3132.529,84.213,2721.611,0
2026-02-06,2656.792,34.425,1958.916,0
2026-02-07,2554.212,84.488,3279.466,48.34
2026-02-08,2499.68,75.447,2911.719,35.211
2026-02-09,2488.637,67.58,3344.498,116.411
2026-02-10,2798.959,35.567,2236.741,188.64
2026-02-11,3982.427,58.23,2703.796,145.021
2026-02-12,4277.234,122.3,2017.646,200.452
2026-02-13,3478.327,90.475,1717.945,74.025
2026-02-14,1248.194,198.062,622.537,128.073
2026-02-15,2373.924,88.281,1602.459,182.412
2026-02-16,2346.913,124.636,1426.237,47.738
2026-02-17,2550.524,110.747,1890.979,277.33
2026-02-18,2757.123,62.883,1691.665,75.528
2026-02-19,2438.143,30.76,1723.194,154.698
2026-02-20,2419.292,166.513,1900.098,96.13
2026-02-21,2250.873,16.7,2108.345,298.251
2026-02-22,2277.718,91.418,2338.634,45.923
2026-02-23,2418.338,80.885,3031.81,135.044
2026-02-24,2303.824,110.379,2747.057,75.529
2026-02-25,2315.68,79.437,2666.532,151.057
2026-02-26,2704.146,26.17,2178.681,199.547
2026-02-27,2423.453,101.338,1575.374,152.084
2026-02-28,2461.05,129.92,2952.417,115.239
,,,,
2026-03-01,2517.46,19.499,2762.072,50.77
2026-03-02,2358.962,137.221,2404.482,66.455
2026-03-03,2866.423,16.129,2851.389,124.017
2026-03-04,2285.264,138.552,1784.284,102.157
2026-03-05,2515.837,110.258,2083.953,189.847
2026-03-06,2296.946,10.411,1910.367,76.924
2026-03-07,1954.274,71.325,2655.077,170.922
2026-03-08,1971.934,89.542,2610.604,50.791
2026-03-09,2421.277,62.611,2389.956,232.956
2026-03-10,2751.733,151.772,2532.507,9.231
2026-03-11,3140.862,10.264,1952.165,176.94
2026-03-12,4242.094,120.888,2220.967,314.83
2026-03-13,2897.352,48.224,2548.521,55.385
2026-03-14,2598.077,121.666,2954.18,143.076
2026-03-15,2379.234,80.653,2920.89,66.155
2026-03-16,2596.872,78.394,2393.853,102.371
2026-03-17,2215.262,150.742,2052.781,193.855
2026-03-18,2523.875,85.839,1975.42,164.862
2026-03-19,2493.946,101.525,2313.575,86.725
2026-03-20,2215.384,101.176,2207.172,82.461
2026-03-21,2404.992,49.861,2800.059,129.695
2026-03-22,2344.626,29.478,1982.637,163.012
2026-03-23,2364.188,12.898,2384.44,167.927
2026-03-24,2706.524,155.428,2402.147,104.615
2026-03-25,2456.745,0,1683.203,113.849
2026-03-26,2119.499,67.158,2297.349,6.154
2026-03-27,2217.956,91.1,2605.679,100.12
2026-03-28,2433.172,88.039,1972.433,0
2026-03-29,2277.016,79.478,1843.756,0
2026-03-30,2101.663,10.264,2309.3,0
2026-03-31,2601.463,75.368,1576.005,0
,,,,
2026-04-01,2218.896,0,2472.361,104.31
2026-04-02,1995.284,122.06,2550.364,154.768
2026-04-03,2118.129,99.125,3273.072,49.385
2026-04-04,2187.681,197.799,3398.189,136.001
2026-04-05,2444.393,45.883,2813.872,112.889
2026-04-06,2338.793,146.155,1810.137,201.922
2026-04-07,2355.967,278.594,2945.014,110.767
2026-04-08,2416.83,97.127,3150.702,104.614
2026-04-09,2824.746,39.01,3090.652,193.978
2026-04-10,3235.833,97.72,2427.788,155.751
2026-04-11,2604.95,111.724,2848.643,41.835
2026-04-12,2627.057,43.718,3071.28,149.847
2026-04-13,2445.039,88.692,2422.715,186.765
2026-04-14,3283.1,131.677,3400.39,83.997
2026-04-15,2240.551,19.208,3962.726,0
2026-04-16,2271.762,42.526,2720.221,4.918
2026-04-17,2407.91,84.631,3632.752,77.386
2026-04-18,2226.143,5.865,3800.487,113.85
2026-04-19,2787.822,98.239,2863.964,199.227
